index,num_trials,num_successes,volume_quality,epsilon_quality,grasp_fnm
35,10,0,0.0,-1.0,grasp_0035.npy
36,10,10,0.042021653192589964,0.013718124730603909,grasp_0036.npy
37,10,10,0.03148738237370618,-1.0,grasp_0037.npy
38,10,7,0.04894094652199139,0.02046950134116632,grasp_0038.npy
39,10,10,0.0,-1.0,grasp_0039.npy
40,10,0,0.0,-1.0,grasp_0040.npy
41,10,0,0.0,-1.0,grasp_0041.npy
42,10,0,0.0,-1.0,grasp_0042.npy
43,10,10,0.0,-1.0,grasp_0043.npy
44,10,10,0.0,-1.0,grasp_0044.npy
45,10,10,0.0,-1.0,grasp_0045.npy
46,10,10,0.023657574004200786,0.009748602460142877,grasp_0046.npy
47,10,0,0.34883151373636057,-1.0,grasp_0047.npy
48,10,10,0.0,-1.0,grasp_0048.npy
49,10,0,0.0,-1.0,grasp_0049.npy
50,10,10,0.0,-1.0,grasp_0050.npy
51,10,10,0.0,-1.0,grasp_0051.npy
52,10,10,0.205026635120146,0.022744420413420424,grasp_0052.npy
53,10,10,0.03072827949962994,0.0006379118162764402,grasp_0053.npy
54,10,10,0.0,-1.0,grasp_0054.npy
55,10,10,0.0,-1.0,grasp_0055.npy
56,10,0,0.031034157464364557,0.018999538038093376,grasp_0056.npy
57,10,0,0.0,-1.0,grasp_0057.npy
58,10,0,0.024963719396797496,-1.0,grasp_0058.npy
59,10,10,0.0,-1.0,grasp_0059.npy
60,10,10,0.03030946557904977,-1.0,grasp_0060.npy
61,10,10,0.0,-1.0,grasp_0061.npy
62,10,10,0.5519916090500478,0.06061792322978665,grasp_0062.npy
63,10,10,0.4864548125015977,0.029611705175395686,grasp_0063.npy
64,10,10,0.022864188354697616,0.007458202200866779,grasp_0064.npy
65,10,10,0.019471721535248218,0.0011452499973859664,grasp_0065.npy
66,10,0,0.0,-1.0,grasp_0066.npy
67,10,10,0.0,-1.0,grasp_0067.npy
68,10,0,0.0,-1.0,grasp_0068.npy
69,10,0,0.0,-1.0,grasp_0069.npy
70,10,10,0.019369113924602024,0.009381008624014031,grasp_0070.npy
71,10,10,0.0,-1.0,grasp_0071.npy
72,10,10,0.0,-1.0,grasp_0072.npy
